feature,weight,std,fold
V_gtm_TI_gtm_FE_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_CO_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_V40_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_ZN_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_CO_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_TI_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_TI_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_V40_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_ZN_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_FE_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_CO_gtm_id2,0.0,0.0,1
CR_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
CR_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_FE_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
CO_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
CO_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
CO_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
CO_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
CO_gtm_FE_gtm_CU_gtm_id2,0.0,0.0,1
CO_gtm_FE_gtm_AG_gtm_id2,0.0,0.0,1
CO_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
CO_gtm_FE_gtm_V40_gtm_id2,0.0,0.0,1
CO_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
TI_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
TI_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
TI_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
TI_gtm_FE_gtm_CU_gtm_id2,0.0,0.0,1
CO_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
CO_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
CO_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
FE_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
V40_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
ZN_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
ZN_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
ZN_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
ZN_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
ZN_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
ZN_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
FE_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
FE_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
CO_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
FE_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
FE_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
FE_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
FE_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
FE_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
FE_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
FE_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
CO_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_FE_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_FE_gtm_V40_gtm_id2,0.0,0.0,1
CR_gtm_FE_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_AG_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_MO_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_V40_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_ZN_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_FE_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_AG_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_MO_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_V40_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_ZN_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_FE_gtm_id2,0.0,0.0,1
NI_gtm_TI_gtm_CO_gtm_id2,0.0,0.0,1
CR_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
CR_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
NI_gtm_CO_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
NI_gtm_FE_gtm_V40_gtm_id2,0.0,0.0,1
NI_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_CU_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_AG_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_MO_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_V40_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_ZN_gtm_id2,0.0,0.0,1
TI_gtm_CO_gtm_FE_gtm_id2,0.0,0.0,1
NI_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
NI_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
NI_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
NI_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
NI_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
NI_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
